year,month,county,GarbageGenerated,GarbageClearance,GarbageRecycled,FoodWastesRecycled,BulkWasteRecyclingandReuse
108,9,南投縣,7597.90,7355.17,"7,376.68",657.73,48.56
108,9,彰化縣,22001.64,19370.60,"25,568.86","1,307.10",83.12
108,9,苗栗縣,7490.85,6683.27,"11,845.36","1,249.53",342.04
108,9,新竹縣,7081.81,6953.70,"10,542.77",677.26,13.23
108,9,宜蘭縣,5890.48,5669.50,"7,951.28",854.78,162.48
108,9,高雄市,47405.64,39314.69,"58,229.59","2,119.65",177.38
108,9,臺南市,34182.31,25717.57,"37,443.16","5,019.45","1,007.76"
108,9,臺中市,54525.96,31002.71,"43,597.31","3,328.90",594.73
108,9,桃園市,35019.67,33249.51,"61,462.97","2,887.23",108.70
108,9,臺北市,21454.85,16492.85,"40,042.16","4,384.55",694.53
108,9,新北市,52687.21,35934.05,"55,735.51","9,176.32",180.61
108,8,嘉義縣,6458.38,5438.91,"9,502.57",943.04,129.99
108,8,連江縣,153.88,153.88,354.95,284.48,46.98
108,8,金門縣,628.08,628.08,"1,355.56",490.17,52.69
108,8,嘉義市,6149.85,6064.00,"6,634.32",408.54,161.32
108,8,新竹市,6119.41,5216.36,"8,498.50",862.63,426.06
108,8,基隆市,7705.80,6901.99,"8,634.89",495.66,73.32
108,8,澎湖縣,1556.03,1510.03,"1,878.58",297.36,34.36
108,8,花蓮縣,5156.61,5156.61,"6,510.33",528.18,33.97
108,8,臺東縣,3377.98,3109.46,"4,299.74",316.89,8.37
108,8,屏東縣,17073.43,16748.09,"18,571.75","1,047.62",57.18
108,8,雲林縣,8479.22,8298.30,"10,167.38","1,212.82",131.94
108,8,南投縣,7840.85,7629.46,"8,725.92",680.07,49.65
108,8,彰化縣,25065.77,22614.87,"27,841.95","1,183.72",78.35
108,8,苗栗縣,8497.34,7590.46,"8,631.61","1,416.78",291.03
108,8,新竹縣,8124.53,7713.12,"10,600.30",688.29,10.33
108,8,宜蘭縣,6461.09,6196.85,"8,567.69",912.51,186.48
108,8,高雄市,52930.14,43453.94,"59,959.20","1,286.48",174.98
108,8,臺南市,36316.87,24876.23,"37,801.49","4,996.58",983.15
108,8,臺中市,58076.62,31782.41,"44,565.09","3,632.99",653.80
108,8,桃園市,39544.94,37726.53,"61,181.41","2,851.23",225.25
108,8,臺北市,21675.72,16289.72,"41,055.60","5,258.66",722.92
108,8,新北市,54727.87,35771.67,"170,375.37","10,463.27",169.18
108,7,臺北市,21617.94,16315.94,"40,640.54","5,294.47","1,177.31"
108,7,連江縣,181.30,181.30,345.65,282.39,46.02
108,7,金門縣,653.65,653.65,"1,451.83",514.04,45.42
108,7,嘉義市,5719.67,5619.33,"6,593.37",489.49,164.62
108,7,新竹市,6526.68,5625.62,"8,492.30",853.36,421.03
108,7,基隆市,7855.06,6943.76,"8,760.35",482.55,82.00
108,7,澎湖縣,1640.43,1590.43,"1,897.10",396.94,33.94
108,7,花蓮縣,5134.54,5134.54,"6,253.08",541.57,38.47
108,7,臺東縣,3379.45,3097.24,"4,673.21",333.10,9.65
108,7,屏東縣,18112.00,17768.47,"15,569.45","1,001.42",86.31
108,7,新北市,56111.33,36223.03,"54,526.87","10,807.29",233.15
108,7,嘉義縣,6624.93,5592.30,"9,250.27",935.31,112.12
108,7,雲林縣,7705.42,7527.44,"9,346.32","1,230.69",139.59
108,7,南投縣,7959.44,7669.64,"7,260.08",663.85,44.97
108,7,彰化縣,23811.14,21231.60,"25,052.79","1,217.95",169.89
108,7,苗栗縣,8441.53,7437.57,"9,669.82","1,350.53",348.71
108,7,新竹縣,8080.94,7642.04,"10,753.48",706.13,15.59
108,7,宜蘭縣,6561.61,6015.26,"8,503.04",918.30,208.98
108,7,高雄市,52972.78,43534.94,"61,691.02","1,360.79",188.57
108,7,臺南市,31472.37,26455.71,"37,765.90","5,049.82","1,201.62"
108,7,臺中市,58282.82,31865.70,"49,382.43","3,227.38",669.72
108,7,桃園市,40072.26,38200.04,"59,871.24","2,827.04",121.46
107,9,雲林縣,"18,425","7,832","8,948","1,354",290
107,9,連江縣,657,160,302,159,36
107,9,金門縣,"2,316",555,"1,235",488,39
107,9,嘉義市,"11,816","5,194","5,691",867,64
107,9,新竹市,"15,032","5,029","8,310","1,334",358
107,9,基隆市,"15,314","6,108","8,156",975,76
107,9,澎湖縣,"3,661","1,350","1,939",338,35
107,9,花蓮縣,"9,798","4,740","4,631",403,24
107,9,臺東縣,"7,738","2,600","4,504",633,1
107,9,屏東縣,"34,832","16,811","16,057",949,"1,015"
107,9,嘉義縣,"15,628","5,189","8,914","1,460",65
107,9,南投縣,"14,849","7,444","6,765",597,42
107,9,彰化縣,"41,207","21,117","18,770","1,254",66
107,9,苗栗縣,"18,469","6,302","10,723","1,165",279
107,9,新竹縣,"17,469","6,831","10,006",629,3
107,9,桃園市,"91,841","36,089","52,308","2,982",461
107,9,宜蘭縣,"15,144","5,790","8,092","1,101",161
107,9,高雄市,"99,513","37,511","55,146","6,673",183
107,9,臺南市,"71,284","26,499","37,118","6,808",858
107,9,臺中市,"82,692","37,301","41,738","3,447",206
107,9,臺北市,"84,513","13,059","65,179","5,243","1,032"
107,9,新北市,"102,180","51,871","41,630","8,525",154
107,8,高雄市,"735,162","288,973","391,344","53,547","7,932"
107,8,新北市,"969,856","431,283","450,420","86,324","33,336"
107,8,連江縣,"4,972","1,223","2,395","1,079",275
107,8,金門縣,"19,568","4,895","10,363","3,914",411
107,8,嘉義市,"93,192","45,724","40,111","6,319","1,652"
107,8,新竹市,"124,313","47,385","65,059","9,420","2,449"
